Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,MAP_KEY
2019,UTTAR PRADESH ,9,SHAMLI ,660,319,1077454,582082,495372,193267,0.821316614,0.191222571,0.385579937,0.072100313,0.203761755,0.028213166,0.059561129,0.435736677,0.786833856,0.21630094,0.764890282,0.006269592,0.02507837,0.094043887,0.062695925,418.6489028,0.003134796,0.974677519,0.639498433,0.63322884,0.282131661,SHAMLI
2019,UTTAR PRADESH ,9,HAPUR ,661,349,1166410,627019,539391,193128,0.902578797,0.381088825,0.240687679,0.017191977,0.561604585,0.017191977,0.014326648,0.389684814,0.733524355,0.280802292,0.842406877,0.00286533,0.05730659,0.154727794,0.074498567,441.3409742,0.071633238,0.998053105,0.432664756,0.796561605,0.097421203,HAPUR
2019,BIHAR ,10,ARARIA ,188,754,3613563,1921599,1691964,791197,0.724137931,0.114058355,0.033156499,0.00265252,0.74270557,0.031830239,0.127320955,0.370026525,0.681697613,0.135278515,0.663129973,0.026525199,0.110079576,0.456233422,0.00397878,322.3076923,0.042440318,0.726178183,0.391246684,0.062334218,0.022546419,ARARIA
2019,BIHAR ,10,AURANGABAD ,189,1845,2627123,1403643,1223480,442222,0.764769648,0.148509485,0.110569106,0.041192412,0.666124661,0.014092141,0.053658537,0.065582656,0.600542005,0.200542005,0.470460705,0.00704607,0.065582656,0.081842818,0.049322493,83.699729,0.079674797,0.778905165,0.235772358,0.159891599,0.055284553,AURANGABAD
2019,BIHAR ,10,BANKA ,190,2131,2517331,1357894,1159437,452272,0.484748944,0.106522759,0.053496011,0.02017832,0.618019709,0.018301267,0.050680432,0.148287189,0.413890192,0.118723604,0.322383857,0.019709057,0.038010324,0.330830596,0.047395589,74.09056781,0.045049273,0.758426345,0.162365087,0.091975598,0.038010324,BANKA
2019,BIHAR ,10,BEGUSARAI ,191,1071,3238867,1743445,1495422,659768,0.603174603,0.173669468,0.183006536,0.033613445,0.418300654,0.057889823,0.114845938,0.259570495,0.656395892,0.206349206,0.473389356,0.039215686,0.176470588,0.207282913,0.014939309,330.4743231,0.050420168,0.833841593,0.373482726,0.142857143,0.062558357,BEGUSARAI
2019,BIHAR ,10,BHAGALPUR ,192,1604,4015965,2174073,1841892,745873,0.605985037,0.11159601,0.021197007,0.044887781,0.605361596,0.064214464,0.097880299,0.21446384,0.408354115,0.079800499,0.375311721,0.038653367,0.076683292,0.264962594,0.044264339,181.2206983,0.016209476,0.813508466,0.262468828,0.099750623,0.028054863,BHAGALPUR
2019,BIHAR ,10,BHOJPUR ,193,1218,3048551,1638637,1409914,478513,0.718390805,0.128078818,0.193760263,0.05090312,0.496715928,0.017241379,0.094417077,0.154351396,0.628899836,0.205254516,0.522167488,0.039408867,0.093596059,0.209359606,0.039408867,172.137931,0.082922824,0.819810538,0.275862069,0.146141215,0.054187192,BHOJPUR
2019,BIHAR ,10,BUXAR ,194,1132,1921526,1011825,909701,280101,0.665194346,0.193462898,0.16254417,0.056537102,0.469081272,0.02385159,0.046819788,0.117491166,0.570671378,0.125441696,0.403710247,0.036219081,0.058303887,0.106890459,0.065371025,133.3286219,0.098939929,0.879154305,0.17844523,0.074204947,0.045936396,BUXAR
2019,BIHAR ,10,DARBHANGA ,195,1268,4530748,2411206,2119542,952276,0.665615142,0.187697161,0.146687697,0.08044164,0.554416404,0.04022082,0.119085174,0.193217666,0.578864353,0.133280757,0.657728707,0.031545741,0.081230284,0.40851735,0.061514196,391.9747634,0.039432177,0.817975041,0.319400631,0.126971609,0.068611987,DARBHANGA
