Year,State_name,District_name,State_code,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,MAP_KEY,Banking,Education,Health,Infrastructure,MEGA
2019,TELANGANA,JANGOAN,36,689,292,496578,249155,247423,133441,JANGAON,0.62,0.67,0.88,0.62,0.6975
2019,NAGALAND,WOKHA,13,250,133,134162,68549,65613,27403,WOKHA,0.88,0.78,1,0.71,0.8425
2019,ASSAM,GOALPARA,18,287,838,1146505,588074,558431,224862,GOALPARA,0.75,0.78,1,0.71,0.81
2019,TRIPURA,West Tripura,16,272,199,576628,288219,288409,136708,WEST TRIPURA,0.5,0.56,0.75,0.52,0.5825
2019,ASSAM,BAKSA,18,616,680,1074212,553695,520517,224770,BAKSA,0.75,0.78,1,0.71,0.81
2019,NAGALAND,MON,13,247,114,266125,138523,127602,39061,MON,0.88,0.67,0.88,0.76,0.7975
2019,NAGALAND,ZUNHEBOTO,13,251,169,155409,77115,78294,35649,ZUNHEBOTO,0.88,0.78,1,0.76,0.855
2019,TAMIL NADU,SALEM,33,584,633,2069017,1074649,994368,667489,SALEM,0.5,0.56,0.88,0.33,0.5675
2019,TAMIL NADU,THANJAVUR,33,586,843,1886984,940315,946669,624650,THANJAVUR,0.5,0.67,1,0.43,0.65
2019,TELANGANA,ADILABAD,36,501,575,600280,302111,298169,143879,ADILABAD,0.75,0.89,1,0.57,0.8025
2019,HARYANA,PANIPAT,6,71,199,885802,474676,411126,160355,PANIPAT,0.5,0.44,0.88,0.43,0.5625
2019,BIHAR,SHEIKHPURA,10,219,315,623624,331140,292484,106618,SHEIKHPURA,0.88,0.78,1,0.67,0.8325
2019,MAHARASHTRA,AURANGABAD,27,469,1364,2617149,1396840,1220309,519812,AURANGABAD,0.62,0.78,1,0.48,0.72
2019,ARUNACHAL PRADESH,WEST SIANG,12,243,146,56383,27871,28512,6103,WEST SIANG,0.88,0.89,1,0.81,0.895
2019,ASSAM,CHARAIDEO,18,708,322,438258,225947,212311,99960,CHARAIDEO,0.88,0.78,1,0.81,0.8675
2019,ASSAM,DARRANG,18,283,514,961723,495734,465989,201454,DARRANG,0.75,0.89,1,0.76,0.85
2019,TELANGANA,JAYASHANKAR BHUPALAPALLY,36,687,305,390268,195803,194465,111240,JAYASHANKAR BHUPALPALLY,0.75,0.78,1,0.57,0.775
2019,TRIPURA,Sepahijala,16,653,220,517932,262728,255204,116585,SEPAHIJALA,0.5,0.44,0.75,0.57,0.565
2019,CHHATTISGARH,DANTEWADA,22,376,217,221413,108008,113405,52932,DANTEWADA,0.75,0.78,1,0.57,0.775
2019,UTTARAKHAND,DEHRADUN,5,49,646,699745,369652,330093,120265,DEHRADUN,0.75,0.78,1,0.62,0.7875
2019,TELANGANA,NALGONDA,36,514,894,1396638,709403,687235,375671,NALGONDA,0.62,0.89,1,0.52,0.7575
2019,TELANGANA,SIDDIPET,36,692,524,854092,427063,427029,219297,SIDDIPET,0.62,0.67,1,0.48,0.6925
2019,TELANGANA,WANAPARTHY,36,693,313,490307,250413,239894,104822,WANAPARTHY,0.62,0.89,1,0.48,0.7475
2019,PUNJAB,LUDHIANA,3,36,1015,1778047,940093,837954,368939,LUDHIANA,0.38,0.56,1,0.62,0.64
2019,UTTARAKHAND,HARIDWAR,5,50,574,1593772,847423,746349,276714,HARIDWAR,0.75,0.78,1,0.57,0.775
2019,MIZORAM,LAWNGTLAI,15,264,179,151890,76688,75202,33946,LAWNGTLAI,0.88,0.67,1,0.71,0.815
2019,MANIPUR,NONEY,14,714,73,60936,30467,30469,11250,NONEY,0.88,0.89,1,0.86,0.9075
2019,GUJARAT,CHHOTAUDEPUR,24,668,891,1158990,596959,562031,264803,CHHOTA UDAIPUR,0.5,0.78,0.62,0.29,0.5475
2019,MADHYA PRADESH,INDORE,23,410,616,963734,498784,464950,200289,INDORE,0.88,0.78,1,0.48,0.785
2019,MAHARASHTRA,DHULE,27,474,674,1546748,805721,741027,342101,DHULE,0.5,0.67,1,0.48,0.6625
2019,PUNJAB,FAZILKA,3,651,479,965357,509411,455946,177863,FAZILKA,0.88,0.78,1,0.48,0.785
2019,UTTARAKHAND,UTTAR KASHI,5,57,666,339164,173716,165448,75179,UTTARKASHI,0.75,0.78,1,0.62,0.7875
2019,WEST BENGAL,PASCHIM BARDHAMAN,19,704,406,1198281,629462,568819,247567,PASCHIM BARDHAMAN,0.75,0.78,0.88,0.62,0.7575
2019,PUNJAB,S.A.S Nagar,3,608,387,490541,262307,228234,95383,SAHIBZADA AJIT SINGH NAGAR,0.75,0.67,1,0.57,0.7475
2019,MANIPUR,KAMJONG,14,717,131,65832,33214,32618,14022,KAMJONG,0.88,0.78,1,0.86,0.88
2019,MAHARASHTRA,PUNE,27,490,1897,4343500,2290978,2052522,1016109,PUNE,0.5,0.67,0.88,0.38,0.6075
2019,MAHARASHTRA,RATNAGIRI,27,492,1542,1439233,683968,755265,432495,RATNAGIRI,0.5,0.78,1,0.48,0.69
2019,CHHATTISGARH,DHAMTARI,22,377,624,696512,348514,347998,159249,DHAMTARI,0.75,0.56,1,0.43,0.685
2019,ARUNACHAL PRADESH,WEST KAMENG,12,242,284,73747,38186,35561,15241,WEST KAMENG,0.88,0.89,1,0.76,0.8825
2019,MANIPUR,UKHRUL,14,260,92,169596,87855,81741,35408,UKHRUL,0.88,0.67,1,0.71,0.815
2019,ARUNACHAL PRADESH,LONGDING,12,666,77,75628,37653,37975,10301,LONGDING,0.88,0.89,1,0.86,0.9075
2019,ARUNACHAL PRADESH,SIANG,12,679,37,15109,7960,7149,2036,SIANG,0.88,0.89,0.88,0.81,0.865
2019,TAMIL NADU,THIRUVALLUR,33,589,738,2073722,1030245,1043477,579543,TIRUVALLUR,0.62,0.67,1,0.33,0.655
2019,MADHYA PRADESH,JABALPUR,23,411,1374,1165117,609165,555952,294104,JABALPUR,0.88,0.78,1,0.52,0.795
2019,HARYANA,GURUGRAM,6,62,250,610393,325722,284671,103811,GURUGRAM,0.62,0.67,0.88,0.43,0.65
2019,WEST BENGAL,DARJEELING,19,309,344,774674,392256,382418,162093,DARJEELING,0.88,0.89,1,0.76,0.8825
2019,WEST BENGAL,24 PARAGANAS NORTH,19,303,1590,5873031,3063973,2809058,1344284,NORTH 24 PARGANAS,0.5,0.78,0.88,0.62,0.695
2019,TELANGANA,Narayanpet,36,721,350,540924,271113,269811,116882,NARAYANPET,0.75,0.78,1,0.57,0.775
